Group,Region,Subregion,Name,SciName,Stock,start.yr,end.yr,btype,MaxCatch,LastCatch,MSY_BSM,lcl,ucl,r_BSM,lcl,ucl,k_BSM,lcl,ucl,q_BSM,lcl,ucl,rel_B_BSM,lcl,ucl,rel_F_BSM,r_CMSY,lcl,ucl,k_CMSY,lcl,ucl,MSY_CMSY,lcl,ucl,rel_B_CMSY,2.5th,97.5th,rel_F_CMSY,F_msy,lcl,ucl,curF_msy,lcl,ucl,MSY,lcl,ucl,Bmsy,lcl,ucl,B,lcl,ucl,B_Bmsy,lcl,ucl,F,lcl,ucl,F_Fmsy,lcl,ucl,sel_B,sel_B_Bmsy,sel_F,sel_F_Fmsy,c00,c01,c02,c03,c04,c05,c06,c07,c08,c09,c10,c11,c12,c13,c14,c15,F.Fmsy00,F.Fmsy01,F.Fmsy02,F.Fmsy03,F.Fmsy04,F.Fmsy05,F.Fmsy06,F.Fmsy07,F.Fmsy08,F.Fmsy09,F.Fmsy10,F.Fmsy11,F.Fmsy12,F.Fmsy13,F.Fmsy14,F.Fmsy15,B00,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,B13,B14,B15,Runtime,st.bio1.ext,st.bio2.ext,int.bio1.ext,int.bio2.ext,end.bio1.ext,end.bio2.ext,total.num.samples
Plankton feeders,Mediterranean,Adriatic Sea,Sand smelt in Adriatic Sea,Atherina boyeri,Athe_boy_AD,1970,2014,None,3.835,0.348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.318223918,0.261518566,0.387224752,32.26870605,26.52881137,39.25051053,2.567168515,2.33384033,2.823823936,0.140969761,0.022978737,0.337247613,0.480804923,0.159111959,0.130759283,0.193612376,0.0897199,0.07373242,0.109173962,2.567168515,2.33384033,2.823823936,16.13435303,13.26440569,19.62525527,4.548911792,0.741494121,10.8825441,0.281939523,0.045957475,0.674495227,0.076501813,0.031977817,0.469322669,0.852673862,0.356418329,5.23097631,NA,NA,NA,NA,0.647,0.497,0.507,0.705,0.668,1.048,1.239,0.9,0.93,1.183,0.687,0.692,0.553,0.375,0.348,NA,1.486807053,1.188122428,1.173542939,1.508560214,1.332414037,1.940577665,2.180748169,1.647646298,1.787768518,2.524648969,1.514023096,1.632890728,1.470114916,1.00019102,0.852673862,NA,4.697147547,4.605289815,4.680194004,4.867686525,5.041711609,5.232683843,5.367131838,5.262579017,5.135647418,4.874176371,4.796467288,4.635364114,4.36713173,4.359970259,4.548911792,NA,16.09,1,1,0.9,0.9,0.9,0.9,1098
Large predators,Mediterranean,Adriatic Sea,Garfish in Adriatic Sea,Belone belone,Belo_bel_AD,1970,2014,None,0.376,0.004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.39455371,0.271987274,0.572352625,1.824856804,1.403155719,2.37329493,0.180001006,0.168140187,0.192698502,0.073000403,0.019014917,0.226849308,0.152205312,0.197276855,0.135993637,0.286176313,0.057605159,0.039710361,0.083563944,0.180001006,0.168140187,0.192698502,0.912428402,0.701577859,1.186647465,0.133215281,0.034699501,0.413967502,0.146000805,0.038029835,0.453698615,0.030026585,0.009662594,0.115275432,0.521248193,0.167738347,2.001130344,NA,NA,NA,NA,0.05,0.038,0.021,0.025,0.022,0.082,0.058,0.065,0.016,0.028,0.012,0.006,0.004,0.005,0.004,NA,1.872225452,1.719974037,1.076334775,1.315210504,1.107569209,3.723858993,2.723684467,3.568513212,1.273972404,2.971938385,1.609458925,0.875043926,0.611325196,0.723186367,0.521248193,NA,0.248514802,0.226035777,0.212413587,0.209661506,0.214324705,0.225661071,0.221912585,0.205238747,0.170422257,0.147606488,0.13130976,0.125923571,0.123009932,0.126446327,0.133215281,NA,4.09,1,1,0.9,0.9,0.9,0.9,1180
Plankton feeders,Mediterranean,Adriatic Sea,Purple dye murex in Adriatic,Bolinus brandaris,Boli_bra_AD,1972,2015,None,1.46093387,0.90030606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.191246217,0.957432554,1.482159284,4.433713687,3.106549294,6.327862589,1.320411164,1.009022679,1.727895396,0.628770555,0.491593753,0.774348234,0.542199103,0.595623108,0.478716277,0.741079642,0.595623108,0.478716277,0.741079642,1.320411164,1.009022679,1.727895396,2.216856843,1.553274647,3.163931294,2.787788614,2.179585953,3.433238363,1.257541109,0.983187507,1.548696468,0.322946315,0.26223232,0.413062884,0.542199103,0.440265524,0.693497076,NA,NA,NA,NA,0.680775097,0.881165096,0.486174462,0.989941402,1.230963691,0.9591,0.48267349,0.58317095,0.54651529,0.54662236,0.97178212,1.46093387,1.1061448,1.31915462,1.19881072,0.90030606,0.304957505,0.391732008,0.220162243,0.44042078,0.563771369,0.46430613,0.244080601,0.292144864,0.252191876,0.237291387,0.422187857,0.655308953,0.551582209,0.72131648,0.725118678,0.542199103,3.747941435,3.776562607,3.707470999,3.773724118,3.665816211,3.468070639,3.320080728,3.351398628,3.638309874,3.867531675,3.864485011,3.742940452,3.366899811,3.070423697,2.775683777,2.787788614,1.1,1,1,0.9,0.9,0.9,0.9,10397
Plankton feeders,Mediterranean,Adriatic Sea,Bogue in Adriatic Sea,Boops boops,Boop_Boo_AD,1970,2014,None,2.425,0.103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.41686202,0.36240243,0.479505459,13.86058196,12.31781607,15.5965742,1.444487548,1.380809747,1.511101931,0.12895664,0.032709509,0.323818205,0.276471085,0.20843101,0.181201215,0.239752729,0.107514251,0.0934684,0.123670826,1.444487548,1.380809747,1.511101931,6.930290981,6.158908035,7.798287101,1.787414082,0.453372833,4.488308768,0.257913281,0.065419018,0.64763641,0.057625147,0.02294851,0.227186087,0.53597683,0.213446218,2.113078827,NA,NA,NA,NA,0.411,0.357,0.236,0.181,0.228,0.312,0.257,0.239,0.183,0.189,0.21,0.156,0.177,0.123,0.103,NA,2.093557483,2.100270528,1.58649586,1.340758886,1.661645323,2.214516637,1.826780003,1.74623184,1.412265431,1.475039806,1.53520686,1.049791136,1.173762361,0.731661081,0.53597683,NA,1.806583489,1.681032306,1.57259214,1.498109355,1.510350798,1.530443827,1.529336339,1.508438366,1.467732636,1.459515134,1.508015366,1.571775153,1.583347039,1.671772393,1.787414082,NA,22.07,1,1,0.9,0.9,0.9,0.9,224
Plankton feeders,Mediterranean,Adriatic Sea,Striped venus in Adriatic Sea,Chamelea gallina,Cham_gal_AD,1970,2014,None,48.973,13.984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.451581235,0.310988296,0.655734039,223.5915592,169.5920992,294.7848726,25.24243811,24.27565307,26.24772565,0.189637804,0.074430638,0.283443457,1.460646768,0.225790617,0.155494148,0.32786702,0.171273747,0.117950275,0.248703926,25.24243811,24.27565307,26.24772565,111.7957796,84.79604961,147.3924363,42.40141228,16.64206246,63.37556452,0.379275608,0.148861277,0.566886914,0.329800336,0.220652867,0.840280466,1.925574354,1.288305243,4.906066916,NA,NA,NA,NA,31.583,32.315,23.652,38.919,34.849,14.265,17.4013,26.7281,23.2779,14.9565,17.8315,18.154,19.0196,14.493,13.984,NA,1.406439586,1.506842237,1.188879043,2.062837897,2.023492694,0.934747424,1.278325456,2.037140474,1.779369869,1.220557128,1.629661406,1.785952259,1.960772786,1.675432719,1.925574354,NA,99.45495094,94.97963234,88.10981869,83.55850866,76.2751005,67.58831318,60.28848435,58.10870792,57.93909065,55.07832102,52.04631784,50.16444408,49.00403205,46.27649,42.40141228,NA,2.06,1,1,0.9,0.9,0.9,0.9,1542
Benthic fish & inv.,Mediterranean,Adriatic Sea,Conger eel in Adriatic Sea,Conger conger,Cong_con_AD,1970,2014,None,0.203,0.093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.313486181,0.234570288,0.418951549,1.5666358,1.22411999,2.004989504,0.122779668,0.11509906,0.130972807,0.214607203,0.068582937,0.296716195,1.764745981,0.15674309,0.117285144,0.209475775,0.134552785,0.100680947,0.179820041,0.122779668,0.11509906,0.130972807,0.7833179,0.612059995,1.002494752,0.336211328,0.107444484,0.464846213,0.429214407,0.137165874,0.59343239,0.276611739,0.200066167,0.86556328,2.055786053,1.486897254,6.432890104,NA,NA,NA,NA,0.054,0.04,0.021,0.025,0.019,0.126,0.13,0.117,0.095,0.081,0.103,0.047,0.103,0.087,0.093,NA,1.333170682,1.148141383,0.594777857,0.638540388,0.402161274,2.091491921,1.989979278,1.777660755,1.528719037,1.455130049,1.973465126,0.959645291,2.139840898,1.870148076,2.055786053,NA,0.318136741,0.295047633,0.297024365,0.3127776,0.343586824,0.387986846,0.416779542,0.419902608,0.39646744,0.372950703,0.361130118,0.349827048,0.346806873,0.340942745,0.336211328,NA,3.43,1,1,0.9,0.9,0.9,0.9,1136
Benthic fish & inv.,Mediterranean,Adriatic Sea,Common dentex in Adriatic Sea,Dentex dentex,Dent_den_AD,1970,2014,None,0.178,0.033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.337058086,0.262665216,0.43252074,1.164940139,0.867312398,1.564702097,0.098163124,0.08976141,0.107351242,0.160826768,0.035285901,0.341164557,1.045146671,0.168529043,0.131332608,0.21626037,0.108415925,0.084487195,0.139121825,0.098163124,0.08976141,0.107351242,0.582470069,0.433656199,0.782351048,0.187353557,0.041105963,0.397436287,0.321653536,0.070571802,0.682329115,0.176137568,0.083032177,0.802803241,1.624646639,0.765866975,7.404846099,NA,NA,NA,NA,0.073,0.022,0.021,0.031,0.017,0.015,0.021,0.023,0.011,0.021,0.025,0.028,0.026,0.028,0.033,NA,2.857352655,1.168738201,1.390341472,2.453138086,1.356425493,1.256002593,1.713070964,1.789919198,0.807332674,1.451961195,1.591926398,1.656153013,1.449010211,1.473458538,1.624646639,NA,0.210118329,0.180358723,0.161559812,0.147776127,0.147167164,0.143659646,0.145548054,0.149015566,0.153445625,0.158094432,0.164737679,0.170928003,0.176090279,0.181215144,0.187353557,NA,2.33,1,1,0.9,0.9,0.9,0.9,1213
Plankton feeders,Mediterranean,Adriatic Sea,Anchovy in Adriatic Sea,Engraulis encrasicolus,Engr_enc_AD,1975,2013,None,64.087,32.761,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.43279115,0.370880637,0.505036285,313.9847951,262.6708861,375.3231012,33.97246013,32.40709936,35.61343256,0.163742416,0.107387596,0.292793577,2.944685808,0.216395575,0.185440319,0.252518143,0.141732537,0.121457783,0.165391723,33.97246013,32.40709936,35.61343256,156.9923975,131.335443,187.6615506,51.41262883,33.71807234,91.93273123,0.327484831,0.214775192,0.585587154,0.637216979,0.356358389,0.971615449,4.495911759,2.514301918,6.855274529,NA,NA,NA,NA,34.648,34.098,29.437,28.97,41.274,49.811,64.087,63.133,55.882,48.728,51.844,42.659,37.347,32.761,NA,NA,0.733882433,0.734848042,0.643007443,0.640620623,0.913212671,1.114099125,1.496202948,1.620593208,1.651006903,1.71269663,2.169573803,2.172596033,2.611826308,4.495911759,NA,NA,218.1741553,214.4287378,211.5578635,208.9773435,208.8604721,206.6108155,197.938858,180.0255046,156.4136592,131.4769944,110.4271078,90.73676942,72.02045156,51.41262883,NA,NA,3.31,0.76,0.76,0.9,0.9,0.9,0.9,7813
Benthic fish & inv.,Mediterranean,Adriatic Sea,Lobster in Adriatic Sea,Homarus gammarus,Hom_gam_AD,1970,2013,None,0.048,0.006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.275959821,0.24798798,0.307086749,0.446336672,0.359646143,0.553923428,0.030792747,0.024865628,0.03813269,0.091912273,0.034721668,0.221606772,1.059984005,0.13797991,0.12399399,0.153543375,0.050728189,0.045586278,0.056450083,0.030792747,0.024865628,0.03813269,0.223168336,0.179823072,0.276961714,0.041023818,0.015497554,0.098911229,0.183824547,0.069443335,0.443213544,0.146256498,0.060660453,0.387157882,2.883140534,1.195793788,7.632006758,NA,NA,NA,NA,0.024,0.02,0.008,0.008,0.008,0.011,0.009,0.012,0.016,0.005,0.005,0.003,0.006,0.006,NA,NA,2.165211161,2.490767846,1.27178145,1.480544432,1.568325575,2.16508256,1.849664359,2.541534779,3.819310639,1.504506941,1.845431321,1.34133787,2.758593925,2.883140534,NA,NA,0.094677951,0.080582685,0.071323412,0.066103983,0.064227385,0.06409918,0.062728969,0.061792527,0.058205076,0.051841942,0.046809006,0.042528973,0.041939679,0.041023818,NA,NA,13.24,1,1,0.9,0.9,0.9,0.9,83
Benthic fish & inv.,Mediterranean,Adriatic Sea,Shortfin squid in Adriatic Sea,Illex coindettii,Ille_coi_AD,1985,2013,None,4.1,0.6882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.369723445,0.272940897,0.500824269,30.83094378,23.18598827,40.99661759,2.849730683,2.387846463,3.400957764,0.119931727,0.034398419,0.250383112,1.006808256,0.184861722,0.136470449,0.250412134,0.088683142,0.065468546,0.120129439,2.849730683,2.387846463,3.400957764,15.41547189,11.59299414,20.49830879,3.697608321,1.060535711,7.719547648,0.239863453,0.068796837,0.500766224,0.186120308,0.089150301,0.648917328,2.09871125,1.005267735,7.317256838,NA,NA,NA,NA,0.537,0.609,0.487,0.357,0.656,1.55,1.3756,1.3284,1.2832,1.12,1.002,0.841,0.6806,0.6882,NA,NA,1.327202728,1.417245281,1.081333299,0.72381285,1.173466215,2.386916427,1.958635807,1.978057045,2.048889632,2.032717391,2.193254282,2.087415387,1.938946138,2.09871125,NA,NA,4.107318928,4.232783475,4.33335839,4.534828633,4.827880825,5.203399357,5.411393994,5.291574855,5.1100813,4.793033082,4.364447607,4.098580546,3.825630458,3.697608321,NA,NA,3.32,1,1,0.9,0.9,0.9,0.9,1146
