"Group","Region","Subregion","Name","SciName","Stock","start.yr","end.yr","btype","MaxCatch","LastCatch","MSY_BSM","lcl","ucl","r_BSM","lcl","ucl","k_BSM","lcl","ucl","q_BSM","lcl","ucl","rel_B_BSM","lcl","ucl","rel_F_BSM","r_CMSY","lcl","ucl","k_CMSY","lcl","ucl","MSY_CMSY","lcl","ucl","rel_B_CMSY","2.5th","97.5th","rel_F_CMSY","F_msy","lcl","ucl","curF_msy","lcl","ucl","MSY","lcl","ucl","Bmsy","lcl","ucl","B","lcl","ucl","B_Bmsy","lcl","ucl","F","lcl","ucl","F_Fmsy","lcl","ucl","sel_B","sel_B_Bmsy","sel_F","sel_F_Fmsy","c00","c01","c02","c03","c04","c05","c06","c07","c08","c09","c10","c11","c12","c13","c14","c15","F.Fmsy00","F.Fmsy01","F.Fmsy02","F.Fmsy03","F.Fmsy04","F.Fmsy05","F.Fmsy06","F.Fmsy07","F.Fmsy08","F.Fmsy09","F.Fmsy10","F.Fmsy11","F.Fmsy12","F.Fmsy13","F.Fmsy14","F.Fmsy15","B00","B01","B02","B03","B04","B05","B06","B07","B08","B09","B10","B11","B12","B13","B14","B15","Runtime"
"Plankton feeders","Mediterranean","Adriatic Sea","Sand smelt in Adriatic Sea","Atherina boyeri","Athe_boy_AD",1970,2014,"None",3.835,0.348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.30881897968802,0.2434728114459,0.391703540322164,37.4299619334171,24.8310049067205,56.4214801454885,2.88977066350982,1.69354744988803,4.93093623578962,0.146305110890737,0.0235288323964616,0.338713727257311,0.411553569493736,0.15440948984401,0.12173640572295,0.195851770161082,0.0903635901368398,0.0712426333549436,0.114616459806257,2.88977066350982,1.69354744988803,4.93093623578962,18.7149809667086,12.4155024533602,28.2107400727442,5.47619473130465,0.880683300937308,12.678041917567,0.292610221781474,0.0470576647929231,0.677427454514621,0.0635477767090091,0.0274490337122015,0.39514772180831,0.703245373637514,0.30376209788295,4.37286434956744,NA,NA,NA,NA,0.647,0.497,0.507,0.705,0.668,1.048,1.239,0.9,0.93,1.183,0.687,0.692,0.553,0.375,0.348,NA,1.31374123344884,1.02670701839494,1.01406045009525,1.33129415959248,1.1726426366833,1.72093192355113,1.94575585877909,1.48564858331689,1.61044573684671,2.08096810896837,1.34486263553398,1.53122514795892,1.2456404101993,0.798452632938204,0.703245373637514,NA,5.46310978220589,5.4162366547628,5.50446050819003,5.66500435573087,5.87554414756996,6.07493308934665,6.21203913108043,6.0590691802949,5.91576793748146,5.86951697531382,5.56393576772618,5.23330713621404,5.18691252919847,5.33499182403432,5.47619473130465,NA,119.199999999997
"Large predators","Mediterranean","Adriatic Sea","Garfish in Adriatic Sea","Belone belone","Belo_bel_AD",1970,2014,"None",0.376,0.004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.515560819970764,0.322025353165006,0.825410038298222,1.44620398896889,1.0025898266009,2.08610333180858,0.186401528599448,0.17042084192333,0.20388075467813,0.0850466942307888,0.0134682641121347,0.229781049212492,0.126160409195946,0.257780409985382,0.161012676582503,0.412705019149111,0.0876934868268566,0.0547743834903722,0.140396790284345,0.186401528599448,0.17042084192333,0.20388075467813,0.723101994484446,0.501294913300451,1.04305166590429,0.122994868445184,0.0194778572834558,0.332310269960563,0.170093388461578,0.0269365282242695,0.459562098424983,0.0325216820064546,0.0120369436685622,0.205361397908873,0.370856299404149,0.137261547055691,2.34180901387057,NA,NA,NA,NA,0.05,0.038,0.021,0.025,0.022,0.082,0.058,0.065,0.016,0.028,0.012,0.006,0.004,0.005,0.004,NA,1.81420158744883,1.68446129777444,1.05792166473627,1.28299965695561,1.05924060357712,3.49326860409124,2.46125579849067,3.18811472577093,1.13339193642852,2.57052541657362,1.36201937893257,0.707104339136944,0.485037252782054,0.533523528131369,0.370856299404149,NA,0.196608394921491,0.177877536713204,0.166856342167815,0.165316636660235,0.170676550632897,0.18144740552622,0.181800656626148,0.16910230776327,0.140711553856974,0.123602681116305,0.111162628272586,0.109092200219832,0.107547984222443,0.114648411248235,0.122994868445184,NA,69.9499999999971
"Plankton feeders","Mediterranean","Adriatic Sea","Purple dye murex in Adriatic","Bolinus brandaris","Boli_bra_AD",1972,2015,"None",1.46093387,0.90030606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.19124621661236,0.957432554090967,1.48215928373209,5.43705679867057,3.19396768749345,9.25544323686289,1.61921833523071,0.875933221929635,2.99322819537711,0.735521911231393,0.510558985977263,0.868971993654951,0.377971583319462,0.595623108306179,0.478716277045483,0.741079641866047,0.595623108306179,0.478716277045483,0.741079641866047,1.61921833523071,0.875933221929635,2.99322819537711,2.71852839933528,1.59698384374672,4.62772161843145,3.99907440803182,2.77593820583003,4.72465008595597,1.47104382246279,1.02111797195453,1.7379439873099,0.225128609308146,0.190555076803711,0.324324964478379,0.377971583319462,0.319925594132182,0.544513736884198,NA,NA,NA,NA,0.6807750968,0.8811650963,0.4861744623,0.9899414017,1.230963691,0.9591,0.48267349,0.58317095,0.54651529,0.54662236,0.97178212,1.46093387,1.1061448,1.31915462,1.19881072,0.90030606,0.23882689599337,0.306893375687018,0.173223414069566,0.34971389299104,0.444099405058011,0.356275828927653,0.187237184589547,0.219951492153669,0.194971603454776,0.187282664315099,0.333344035303693,0.514894851124216,0.418399018327958,0.528791782553896,0.504182869562007,0.377971583319462,4.78573765485326,4.82056821780465,4.71209470022948,4.7525321496362,4.65364781376793,4.51966236970423,4.32802544866182,4.45140829455366,4.70608118330046,4.90025042616226,4.89445879869294,4.76365685682558,4.4386386089439,4.18831624761971,3.99200423589014,3.99907440803182,6.3799999999901
"Plankton feeders","Mediterranean","Adriatic Sea","Bogue in Adriatic Sea","Boops boops","Boop_Boo_AD",1970,2014,"None",2.425,0.103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.386741023454501,0.34386711150768,0.434960524624916,15.6800246571899,13.1183836298218,18.7418801117515,1.51602719592836,1.22891556473654,1.87021673802881,0.125166017299533,0.0258636417655653,0.302014903331927,0.271402474751054,0.193370511727251,0.17193355575384,0.217480262312458,0.09681366726429,0.0860809536554211,0.108884553099632,1.51602719592836,1.22891556473654,1.87021673802881,7.84001232859497,6.55919181491092,9.37094005587576,1.96260623749893,0.405542540608792,4.73560113108345,0.250332034599065,0.0517272835311306,0.604029806663854,0.0524812354266534,0.0217501426215841,0.253980753401058,0.542084985618671,0.224659836118063,2.62339771416488,NA,NA,NA,NA,0.411,0.357,0.236,0.181,0.228,0.312,0.257,0.239,0.183,0.189,0.21,0.156,0.177,0.123,0.103,NA,2.20462912069203,2.35445191689249,1.56783635543009,1.30843332655325,1.68811549477363,2.26368357813204,1.76223052017848,1.65895960502241,1.26219246282967,1.32832882592689,1.38460732332435,1.08028657475552,1.10267173805646,0.72973260186026,0.542084985618671,NA,1.94402297316568,1.75322416089009,1.74684305596138,1.67460252028215,1.65468220786718,1.67154352115563,1.71942585964447,1.70894976438296,1.71439544972739,1.69834671341786,1.75345484712427,1.71096474726098,1.80389711135151,1.84849777741318,1.96260623749893,NA,93.429999999993
"Plankton feeders","Mediterranean","Adriatic Sea","Striped venus in Adriatic Sea","Chamelea gallina","Cham_gal_AD",1970,2014,"None",48.973,13.984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.520742292353521,0.351999684391324,0.770377210748102,198.257485630751,141.309017479626,278.15656289801,25.8102643859007,24.0051149918519,27.7511583633826,0.192092039812524,0.0798501728388967,0.281794647336573,1.41026133180744,0.26037114617676,0.175999842195662,0.385188605374051,0.200060898309675,0.135232674776188,0.295966659675372,25.8102643859007,24.0051149918519,27.7511583633826,99.1287428153755,70.6545087398129,139.078281449005,38.0836848229132,15.8308944942206,55.8678982451531,0.384184079625049,0.159700345677793,0.563589294673145,0.367191359371467,0.250304744571507,0.8833360619708,1.83539793369861,1.25114276046116,4.41533587739608,NA,NA,NA,NA,31.583,32.315,23.652,38.919,34.849,14.265,17.4013,26.7281,23.2779,14.9565,17.8315,18.154,19.0196,14.493,13.984,NA,1.37492942439917,1.46535797428283,1.15342194381164,1.99819279420072,1.94911263928944,0.905544207566721,1.24420343166366,1.98293966454699,1.72364666274943,1.1739167310249,1.58350932953215,1.72496165128162,1.84946375223393,1.6242442818936,1.83539793369861,NA,88.2226541333881,84.6969113819071,78.7565722348421,74.8051381638873,68.6689691396276,60.5019349341969,53.715230614628,51.7685180202716,51.868381970205,49.2475597029666,46.2990414405244,44.7594578232784,44.2451988669466,41.2137228942993,38.0836848229132,NA,21.4900000000052
"Benthic fish & inv.","Mediterranean","Adriatic Sea","Conger eel in Adriatic Sea","Conger conger","Cong_con_AD",1970,2014,"None",0.203,0.093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.332871083698079,0.254552036060374,0.435286867381621,1.52966793857074,1.12527173851915,2.07939462282287,0.127295556102562,0.110049513622893,0.147244254608771,0.208790418276648,0.06917114265471,0.294327581330903,1.74956122863166,0.16643554184904,0.127276018030187,0.21764343369081,0.139000585595046,0.106296052164436,0.181767454221881,0.127295556102562,0.110049513622893,0.147244254608771,0.76483396928537,0.562635869259574,1.03969731141144,0.319380008718562,0.105808879193213,0.450223464598955,0.417580836553295,0.13834228530942,0.588655162661807,0.291189171085381,0.20656408941911,0.87894324851676,2.09487729737852,1.48606632507937,6.32330608359743,NA,NA,NA,NA,0.054,0.04,0.021,0.025,0.019,0.126,0.13,0.117,0.095,0.081,0.103,0.047,0.103,0.087,0.093,NA,1.32359585790677,1.14585503309359,0.597172445720196,0.637655791683641,0.401326412608188,2.05452923147061,1.92900763699974,1.7130091644189,1.50295134627276,1.44286984608654,1.94190512427686,0.93008930940227,2.09699196574359,1.8801503232851,2.09487729737852,NA,0.306171477134165,0.283211384162845,0.284253169777066,0.300138977917534,0.329817335046128,0.375383050705176,0.404914501759527,0.410374249131314,0.381096439271184,0.359148849880842,0.34910024832115,0.340747087118648,0.335943140903619,0.32606853235997,0.319380008718562,NA,28.7799999999988
"Benthic fish & inv.","Mediterranean","Adriatic Sea","Common dentex in Adriatic Sea","Dentex dentex","Dent_den_AD",1970,2014,"None",0.178,0.033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.425283191082274,0.280550930525619,0.644680779629801,0.968065538083131,0.651796277173349,1.43779723641309,0.102925500303193,0.0901146427640663,0.117557572085132,0.162428722787506,0.0391502526422817,0.337219664240393,0.986956764816987,0.212641595541137,0.140275465262809,0.322340389814901,0.138156411100977,0.0911390586442451,0.209429351281845,0.102925500303193,0.0901146427640663,0.117557572085132,0.484032769041566,0.325898138586674,0.718898618206546,0.157241648925443,0.0379000103902409,0.326450735715089,0.324857445575012,0.0783005052845633,0.674439328480786,0.209868061200803,0.101087228147039,0.870712162350682,1.51906132714617,0.73168684204713,6.30236523525706,NA,NA,NA,NA,0.073,0.022,0.021,0.031,0.017,0.015,0.021,0.023,0.011,0.021,0.025,0.028,0.026,0.028,0.033,NA,2.68603189137538,1.109354318701,1.34488480303204,2.38034362287046,1.36785873544617,1.23557117955872,1.72793650477135,1.79135555421434,0.816032733371173,1.43625415579045,1.5721220854723,1.57170671965984,1.3870934519214,1.37669574511978,1.51906132714617,NA,0.175875004231523,0.150236159936036,0.133310813156547,0.12174728701391,0.118932927695911,0.117546585425079,0.117609940622894,0.120884687995481,0.123862780764499,0.129000760739676,0.134531858909624,0.142393948824615,0.146060265728262,0.152145216943283,0.157241648925443,NA,41.7400000000052
"Plankton feeders","Mediterranean","Adriatic Sea","Anchovy in Adriatic Sea","Engraulis encrasicolus","Engr_enc_AD",1975,2013,"None",64.087,32.761,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.677056874498165,0.453844795282356,1.01005016708417,210.08281051005,145.317456113508,303.712908635889,35.5595027674311,31.3316414912551,40.3578675384711,0.226183304525793,0.123576924907518,0.399442623923926,2.03662433973713,0.338528437249082,0.226922397641178,0.505025083542084,0.3062779224518,0.205304231077591,0.456912969055854,35.5595027674311,31.3316414912551,40.3578675384711,105.041405255025,72.658728056754,151.856454317944,47.5172243052292,25.9613876987608,83.9160290714475,0.452366609051587,0.247153849815036,0.798885247847853,0.689455254994655,0.39040217181996,1.2619125133116,2.25107722252868,1.27466638370384,4.12015499912563,NA,NA,NA,NA,34.648,34.098,29.437,28.97,41.274,49.811,64.087,63.133,55.882,48.728,51.844,42.659,37.347,32.761,NA,NA,0.714242751142309,0.713418547324613,0.617324067492688,0.612738587264809,0.858717244457867,1.03891393433271,1.38276215370642,1.49825899234021,1.50791535037477,1.50033804162946,1.83012615266963,1.77271514050637,1.83165468928993,2.25107722252868,NA,NA,143.297024616914,141.185258775996,140.859188614215,139.661952056198,141.981323142517,141.628460053992,136.907519321148,124.472776651982,109.471185770789,95.9388059588882,83.6801246366039,71.0847696243425,60.2305686019007,47.5172243052292,NA,NA,61.9600000000064
"Benthic fish & inv.","Mediterranean","Adriatic Sea","Lobster in Adriatic Sea","Homarus gammarus","Hom_gam_AD",1970,2013,"None",0.048,0.006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.33287108369808,0.281886717427952,0.393076904698975,0.36305120062166,0.269677515788135,0.488754777674453,0.0302123116472052,0.0233677803381221,0.039061637941655,0.0968699161600923,0.0276357278159937,0.24938110862953,1.02505784788428,0.16643554184904,0.140943358713976,0.196538452349487,0.064490387939904,0.0546126853677786,0.0761546536053166,0.0302123116472052,0.0233677803381221,0.039061637941655,0.18152560031083,0.134838757894067,0.244377388837227,0.035168739366041,0.0100331841636499,0.0905381109003113,0.193739832320185,0.0552714556319874,0.498762217259059,0.170606058339231,0.066270435072435,0.598015535460609,2.64544940399819,1.02760174328909,9.27294058174801,NA,NA,NA,NA,0.024,0.02,0.008,0.008,0.008,0.011,0.009,0.012,0.016,0.005,0.005,0.003,0.006,0.006,NA,NA,1.97324858073182,2.23657419021687,1.15614496340623,1.42466137386861,1.56610138482261,2.10562147902173,1.7791824273445,2.51455543775737,3.62673337531946,1.45846113368434,1.75894665932445,1.25136438182793,2.53265776811571,2.64544940399819,NA,NA,0.0814414743499465,0.0698319628209582,0.0614284777949038,0.0553375687501813,0.0527795839657563,0.0533749028310022,0.0525220804230568,0.0510141813234762,0.0490493303739593,0.0432382868082122,0.0393721900951556,0.0361576035465873,0.0359433272319294,0.035168739366041,NA,NA,64.3499999999913
"Benthic fish & inv.","Mediterranean","Adriatic Sea","Shortfin squid in Adriatic Sea","Illex coindettii","Ille_coi_AD",1985,2013,"None",4.1,0.6882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.413747249519487,0.276304986445674,0.619557354671913,37.1168947898461,20.7404364090712,66.4240545217247,3.83925328250076,1.94723098746744,7.5696544796483,0.118305602606908,0.0304214583774511,0.250996972554387,0.757587144188656,0.206873624759744,0.138152493222837,0.309778677335957,0.0978972353627075,0.0653768558494982,0.146594212388005,3.83925328250076,1.94723098746744,7.5696544796483,18.5584473949231,10.3702182045356,33.2120272608624,4.39113660500996,1.12915006994954,9.3162282228711,0.236611205213816,0.0608429167549021,0.501993945108775,0.15672479858969,0.0738710971367669,0.60948497309198,1.60091138436164,0.754577970083382,6.22576287097229,NA,NA,NA,NA,0.537,0.609,0.487,0.357,0.656,1.55,1.3756,1.3284,1.2832,1.12,1.002,0.841,0.6806,0.6882,NA,NA,1.10364725530936,1.17315897444932,0.887998534958532,0.593720839964447,0.958161048788972,1.94628485993878,1.61714020985695,1.58537021842908,1.69665674095569,1.68243370716281,1.68757006171848,1.59344851157764,1.42092758588911,1.60091138436164,NA,NA,4.67170336863144,4.82540170071123,4.9597709004303,5.19333360934547,5.54160956158073,5.97676124296289,6.17697019608538,6.13059103663147,5.82443016242127,5.46441017319601,5.16067149716619,4.86555337038911,4.63514430779448,4.39113660500996,NA,NA,12.0699999999924
